Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Asia (UN),,1976,1879,178056,1558191,3334742,3357634,2285802,1637558,1208539,1381610,1289413,11394781
Asia (UN),,1977,2124,187061,1603715,3391007,3352601,2266640,1602209,1156693,1349185,1231128,10953208
Asia (UN),,1978,2415,200934,1667053,3470986,3370662,2280762,1590039,1137701,1360008,1216463,10675444
Asia (UN),,1979,2624,213133,1727131,3544462,3365350,2265937,1535994,1076110,1272319,1109673,10389116
Asia (UN),,1980,2820,230012,1819683,3659802,3402824,2287022,1522163,1075348,1263284,1104629,10234718
Asia (UN),,1981,2899,240767,1897187,3725663,3428233,2300264,1508964,1084188,1262924,1102617,10083465
Asia (UN),,1982,3085,252224,1980523,3798201,3461420,2318389,1494592,1096079,1255208,1091168,9986999
Asia (UN),,1983,3443,269563,2075004,3874683,3484946,2330500,1467456,1100984,1235692,1057872,9716870
Asia (UN),,1984,3888,284644,2160702,3950051,3511188,2341784,1443760,1113190,1225197,1029330,9600689
Asia (UN),,1985,4444,302869,2250434,4030124,3547213,2352044,1423012,1130998,1217699,1003309,9481576
Asia (UN),,1986,5044,319255,2337068,4095275,3583003,2361581,1404036,1143600,1205680,969017,9346667
Asia (UN),,1987,5778,333401,2418774,4153343,3625503,2375592,1392914,1158214,1194285,942187,9231394
Asia (UN),,1988,6658,354956,2519630,4221758,3686593,2391714,1393938,1179457,1199812,920647,9032844
